entrez,pval,fc
672,1.5089539619264102e-91,1.49969084905694
10640,1.64880798511976e-91,1.69856865566243
7098,1.7504414385096e-91,2.09599222146038
57498,2.60309082131169e-91,1.46068639997417
80208,4.96031592025054e-91,1.27874705621904
9360,7.96727773914709e-91,1.83020903502249
659,8.41817110103104e-91,1.28321790091659
9933,2.02829815240768e-90,1.40290140604471
4179,2.03500173626762e-90,1.03406751634825
3685,2.1584650640385e-90,1.29958077887965
80124,2.49025339072368e-90,1.40910021409298
299941,2.68485858179834e-90,1.96073183384491
23595,3.73912326238787e-90,1.58988968824154
2820,5.30503562224608e-90,1.18630119106994
79811,1.30400566018601e-89,1.39700403117655
6091,1.89045074107593e-89,1.17776880388148
5978,2.91738974944244e-89,1.42957695906483
8355,3.69692507271804e-89,-1.12079184803191
8354,5.21721339324077e-89,-1.28789222739806
9988,5.4336670480407e-89,1.77408865540667
151987,6.51227345013426e-89,1.2032818914138
122786,7.15197361884595e-89,1.03855924524403
2551,1.07927030205291e-88,1.54561904289716
1062,1.10948499099172e-88,2.31994137822656
10443,1.14066974814247e-88,1.25378078161946
23036,1.22791661645058e-88,1.66943155064641
130507,3.14365462147146e-88,1.48958294724025
1213,3.15392751391018e-88,1.72081054061517
81539,3.85106216585765e-88,1.1804174941961
9043,4.24963439844691e-88,1.10515799908654
8340,7.88752443541589e-88,-1.06248803655776
4436,8.01174478197763e-88,1.24441462043358
11183,1.81412595680326e-87,1.41113542418479
79158,2.28032183593274e-87,1.53237303669618
79718,3.38149114784923e-87,1.3103685493618
988,4.93004772245342e-87,1.27827712309857
129607,6.9839248545168505e-87,2.50008483606181
53981,7.56841953404396e-87,1.15559903214117
57045,1.2332137606276e-86,1.11420033976396
135228,1.23921212033669e-86,1.00277340033256
831,1.24428899076885e-86,1.04715509079703
84248,1.28387642126018e-86,1.50407490639907
65125,2.51165596039499e-86,1.08865542053178
8898,2.69520807505133e-86,1.17352827602276
493869,3.76438207083337e-86,1.01372747165855
55193,5.8555716400173e-86,1.26200011416606
54904,8.45558831308073e-86,1.16931106460077
1021,9.64079423337757e-86,1.42064040268906
9702,1.00979531379686e-85,1.29960885071203
3646,1.28798995312113e-85,1.20819934194547
11260,1.42780858400085e-85,1.06161903833193
55749,1.5204437717539e-85,1.27386586601725
23089,1.95191135925702e-85,1.03448447558233
23376,2.23918646043691e-85,1.58446816070043
5359,2.2788012969371e-85,1.07962166184017
3964,2.4819952574774105e-85,1.29195384817149
5431,3.7493751206919e-85,1.08576507681261
22990,6.01584749333594e-85,1.00676221087528
23683,6.85003310371733e-85,1.45682134195213
8065,8.147017249699471e-85,1.39437757906834
5962,8.862903905627311e-85,1.25111313795671
50999,8.93388142475308e-85,1.1221656822767
987,9.64510509339668e-85,1.35021727050755
23032,1.05380423815621e-84,1.19843193057807
57120,1.9071889862850999e-84,1.22514839076966
140609,2.05254353806144e-84,1.33528279682878
830,2.1146878049087e-84,1.07580264910806
8777,3.11707706390798e-84,1.38326332981765
57534,3.45322831773988e-84,1.30428491848594
2005,4.3734105748049995e-84,1.33850433595649
