Gene ID	Gene Name	'COVID-19' vs 'normal' in 'colon'.p-value	'COVID-19' vs 'normal' in 'colon'.log2foldchange	'COVID-19' vs 'normal' in 'lung'.p-value	'COVID-19' vs 'normal' in 'lung'.log2foldchange
ENSG00000007516	BAIAP3	7.80178774121572e-05	-3.6	0.560254002087875	-0.7
ENSG00000007520	TSR3	0.00768445521441272	-1.8	0.167644951374193	1.4
ENSG00000007541	PIGQ	0.174986810815186	-1.1	0.916616209627719	0.1
ENSG00000007545	CRAMP1	0.99045335072105	0	0.3666508855155	-0.7
ENSG00000007866	TEAD3	0.709369047025031	0.2	0.574799224750784	0.5
ENSG00000007908	SELE	0.152003324586442	-1.5	0.851813637534226	0.2
ENSG00000007923	DNAJC11	0.120391235492367	-0.6	0.887892056259647	-0.1
ENSG00000007933	FMO3	0.771359469878252	0.3	0.0267643075213343	-1.2
ENSG00000007944	MYLIP	0.232865241973134	-0.8	0.3460712778529	-0.5
ENSG00000007952	NOX1	0.0854794494666147	-1.5	0.519004339767435	0.8
ENSG00000007968	E2F2	0.418073339214508	-0.8	0.0248042938453593	2.8
ENSG00000008018	PSMB1	0.993372788700864	0	0.58692707148079	0.3
ENSG00000008056	SYN1	0.428493286687826	0.8	0.0046787686912173	2
ENSG00000008083	JARID2	0.152029958335427	-0.6	0.825509449866953	0.2
ENSG00000008086	CDKL5	0.4147480031415	0.4	0.0159694952731278	-0.6
ENSG00000008118	CAMK1G	0.552780117481768	-0.7	0.0173752738511193	-2.5
ENSG00000008128	CDK11A	0.439537891048306	-0.7	0.10632041942892	-1.5
ENSG00000008130	NADK	0.749989764657728	-0.3	0.710010689776598	0.2
ENSG00000008196	TFAP2B	0.588983155071967	-0.8	NA	0.1
ENSG00000008197	TFAP2D	NA	0	NA	0
ENSG00000008226	DLEC1	4.03190198277785e-08	-4.1	0.943349788939823	-0.1
ENSG00000008256	CYTH3	0.193895827948007	-0.7	0.631620442690807	-0.3
ENSG00000008277	ADAM22	0.209570540237199	-0.6	0.585945726165622	-0.4
ENSG00000008282	SYPL1	2.57428522377522e-06	1	0.0303663470108272	0.6
ENSG00000008283	CYB561	7.84134111821707e-08	-2.5	0.0459121376113771	-1.2
ENSG00000008294	SPAG9	0.0330799907037865	0.5	0.522706564452333	0.2
ENSG00000008300	CELSR3	0.0357747393368903	-1.4	0.957699696944487	0.1
ENSG00000008311	AASS	0.00034150780269644	1.4	0.0153779577013237	-1
ENSG00000008323	PLEKHG6	0.000119627485693133	-2.4	4.50293596464681e-07	-3.9
ENSG00000008324	SS18L2	0.189366342831556	0.7	0.388760362863105	0.8
ENSG00000008382	MPND	0.000613652201263065	-1.8	0.843101994625625	-0.2
ENSG00000008394	MGST1	0.408948081035042	0.5	0.00255604821898393	1.4
ENSG00000008405	CRY1	0.00952080907259166	1	0.896172591156956	-0.1
ENSG00000008438	PGLYRP1	NA	-0.3	0.0215200834628937	2.5
ENSG00000008441	NFIX	0.72209365799098	-0.2	0.0320177820429867	-0.6
ENSG00000008513	ST3GAL1	0.81144777488695	0.1	0.237145735866927	-0.4
ENSG00000008516	MMP25	0.000405860555718147	-2.7	0.132067960454037	1.6
ENSG00000008517	IL32	0.132188009222776	-1	0.588986904930994	0.4
ENSG00000008710	PKD1	0.899321815561404	-0.1	0.355727990346096	-0.7
ENSG00000008735	MAPK8IP2	0.619776389255377	-0.5	0.527436905539798	-1
ENSG00000008838	MED24	0.27659332831274	-0.5	0.716925012254788	-0.3
ENSG00000008853	RHOBTB2	0.243133252441388	-0.9	0.373842455546723	-0.5
ENSG00000008869	HEATR5B	0.00125588876131467	-0.7	0.959648690641227	0
ENSG00000008952	SEC62	6.37505535285637e-07	0.9	0.483572388598584	0.2
ENSG00000008988	RPS20	1.76133474746191e-05	0.9	0.0537680573977201	0.4
ENSG00000009307	CSDE1	0.000171231800212124	0.8	0.0157873914020945	0.4
ENSG00000009335	UBE3C	0.0107026894038186	1.3	0.0101354918388289	0.5
ENSG00000009413	REV3L	0.138105826061211	0.4	0.661023011145485	-0.2
ENSG00000009694	TENM1	0.784127038823798	-0.2	0.0149450299060979	-1.2
ENSG00000009709	PAX7	NA	0.1	NA	0.9
ENSG00000009724	MASP2	0.0221238784870837	-1.1	0.00694182896400724	-1.5
ENSG00000009765	IYD	0.0682856032543341	-1.7	0.689705357442218	-0.5
ENSG00000009780	FAM76A	0.11414375300346	0.6	0.34730869531199	0.5
ENSG00000009790	TRAF3IP3	0.203449925121717	-1.1	0.921683874028126	0.1
ENSG00000009830	POMT2	0.597916143014489	0.4	0.878523533633219	-0.1
ENSG00000009844	VTA1	0.0262901057659839	0.9	0.0106114944988142	0.8
ENSG00000009950	MLXIPL	0.361294919469977	-0.8	0.092331955696139	-1.8
ENSG00000009954	BAZ1B	0.595224796001721	0.2	0.579568952062152	-0.1
ENSG00000010017	RANBP9	6.34181554533466e-05	0.9	0.0981028417996969	0.5
ENSG00000010030	ETV7	0.745890942313964	-0.3	0.175635016076306	1
ENSG00000010072	SPRTN	0.260806764889709	0.5	0.301320651170988	-0.4
ENSG00000010165	EEF1AKNMT	0.702049898114326	-0.3	0.345114358623586	-0.7
ENSG00000010219	DYRK4	0.239328184809378	0.5	0.81506914944101	-0.2
ENSG00000010244	ZNF207	0.932863760670498	0	0.116023639776429	0.3
ENSG00000010256	UQCRC1	0.368917978966028	-0.4	0.183272183911005	0.6
