#GeneSymbol,GeneName,GFOLD(0.01),E-FDR,log2fdc,1stRPKM,2ndRPKM
ENSG00000153443,UBALD1,-0.0691866,1,-0.448036,328.683,255.066
ENSG00000105397,TYK2,-0.0689826,1,-0.256094,1270.91,1126.29
ENSG00000165650,PDZD8,-0.0684791,1,-0.164531,4682.63,4420.63
ENSG00000029363,BCLAF1,-0.0681724,1,-0.114144,20104.4,19652.4
ENSG00000116138,DNAJC16,-0.0681254,1,-0.229524,1693.81,1528.86
ENSG00000090971,NAT14,-0.0679677,1,-0.276955,1025.49,895.805
ENSG00000111271,ACAD10,-0.0679658,1,-0.267476,1121.9,986.461
ENSG00000171853,TRAPPC12,-0.0679658,1,-0.267476,1121.9,986.461
ENSG00000101079,NDRG3,-0.0678333,1,-0.158227,5276.45,5002.98
ENSG00000170365,SMAD1,-0.0677912,1,-0.207387,2248.19,2060.5
ENSG00000041357,PSMA4,-0.0677249,1,-0.147962,6674.45,6373.58
ENSG00000100324,TAB1,-0.0676626,1,-0.270249,1089.03,955.73
ENSG00000169499,PLEKHA2,-0.0676182,1,-0.198147,2563.72,2364.74
ENSG00000143742,SRP9,-0.0671679,1,-0.129403,11026.2,10665.1
ENSG00000221988,PPT2,-0.0671215,1,-0.316017,731.867,622.3
ENSG00000111775,COX6A1,-0.0670982,1,-0.149291,6363.29,6070.88
ENSG00000065833,ME1,-0.0670196,1,-0.230132,1658.75,1496.59
ENSG00000095066,HOOK2,-0.0669366,1,-0.593336,177.489,124.46
ENSG00000101391,CDK5RAP1,-0.0668134,1,-0.223365,1796.8,1628.74
ENSG00000011105,TSPAN9,-0.0667599,1,-0.264253,1143.82,1007.97
ENSG00000100412,ACO2,-0.066608,1,-0.147548,6558.31,6264.49
ENSG00000113407,TARS1,-0.0662916,1,-0.107318,25188,24738.3
ENSG00000102858,MGRN1,-0.066268,1,-0.305279,791.029,677.616
ENSG00000171469,ZNF561,-0.0662217,1,-0.228874,1667.52,1505.81
ENSG00000204842,ATXN2,-0.0661539,1,-0.172533,3828.06,3593.97
ENSG00000114626,ABTB1,-0.0660769,1,-0.526222,227.887,167.483
ENSG00000105976,MET,-0.0659031,1,-0.106906,25212.1,24769.1
ENSG00000125821,DTD1,-0.0655388,1,-0.184477,3074.28,2862.58
ENSG00000143537,ADAM15,-0.0654805,1,-0.207164,2182.45,2000.58
ENSG00000109572,CLCN3,-0.0654216,1,-0.157589,5074.86,4813.99
ENSG00000155008,APOOL,-0.0654094,1,-0.200579,2392.81,2203.4
ENSG00000160813,PPP1R35,-0.0653525,1,-0.441333,333.065,259.676
ENSG00000070770,CSNK2A2,-0.0653431,1,-0.140188,7651.73,7346.21
ENSG00000106268,NUDT1,-0.0652039,1,-0.351033,560.952,465.573
ENSG00000117676,RPS6KA1,-0.0651957,1,-0.343722,589.437,491.694
ENSG00000135842,NIBAN1,-0.0651333,1,-0.136212,8473.44,8157.51
ENSG00000088387,DOCK9,-0.0651297,1,-0.184236,3065.51,2854.9
ENSG00000178694,NSUN3,-0.0649474,1,-0.285873,920.311,799.002
ENSG00000080986,NDC80,-0.0649001,1,-0.163319,4459.13,4213.2
ENSG00000119421,NDUFA8,-0.0648894,1,-0.202919,2296.4,2111.21
ENSG00000257122,#N/A,-0.0648073,1,-0.407644,396.61,316.528
ENSG00000174032,SLC25A30,-0.0647842,1,-0.227404,1667.52,1507.35
ENSG00000164062,APEH,-0.0647152,1,-0.186692,2925.27,2719.68
ENSG00000143842,SOX13,-0.0647144,1,-0.388307,442.626,358.015
ENSG00000236782,#N/A,-0.0646627,1,-1.66373,43.8243,13.8289
ENSG00000243708,#N/A,-0.0646627,1,-1.66373,43.8243,13.8289
ENSG00000120137,PANK3,-0.064519,1,-0.126354,11159.9,10817.3
ENSG00000166483,WEE1,-0.0644537,1,-0.16947,3924.47,3692.31
ENSG00000178307,TMEM11,-0.0644281,1,-0.277834,983.856,858.928
ENSG00000163964,PIGX,-0.0643716,1,-0.202663,2287.63,2103.53
ENSG00000123395,ATG101,-0.0643361,1,-0.255438,1218.32,1080.19
ENSG00000123178,SPRYD7,-0.0643344,1,-0.195954,2519.9,2327.86
ENSG00000132017,DCAF15,-0.0642807,1,-0.264086,1117.52,984.924
ENSG00000197780,TAF13,-0.064109,1,-0.203909,2239.42,2057.43
ENSG00000175104,TRAF6,-0.0639649,1,-0.239318,1439.63,1290.7
ENSG00000101057,MYBL2,-0.0639108,1,-0.154541,5243.58,4984.55
ENSG00000003147,ICA1,-0.0636325,1,-0.468709,289.241,221.262
ENSG00000148841,ITPRIP,-0.0636321,1,-0.193689,2579.06,2386.25
ENSG00000157020,SEC13,-0.0635845,1,-0.173264,3602.36,3380.39
ENSG00000175582,RAB6A,-0.0632531,1,-0.130781,9371.84,9056.39
ENSG00000130985,UBA1,-0.063227,1,-0.128037,10165.1,9841.56
ENSG00000145331,TRMT10A,-0.06321,1,-0.440384,330.874,258.139
ENSG00000221978,CCNL2,-0.0629493,1,-0.157152,4857.93,4609.63
ENSG00000188352,FOCAD,-0.0629117,1,-0.145115,6354.53,6080.1
ENSG00000164081,TEX264,-0.0628588,1,-0.262419,1119.71,987.997
ENSG00000101871,MID1,-0.0628455,1,-0.195622,2476.08,2287.91
ENSG00000168522,FNTA,-0.0628211,1,-0.163394,4270.68,4034.96
ENSG00000149634,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000170214,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000201512,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000223949,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000230612,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000231092,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000234801,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000242457,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000250492,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000259250,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000272086,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000273010,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000283172,#N/A,-0.0628198,1,-0.107909,19.721,19.9751
ENSG00000155621,C9orf85,-0.0628127,1,-0.3263,655.174,553.156
ENSG00000006652,IFRD1,-0.0628001,1,-0.150732,5563.5,5302.61
ENSG00000265491,RNF115,-0.0627776,1,-0.179036,3212.32,3002.41
ENSG00000104133,SPG11,-0.0626913,1,-0.194397,2515.52,2326.33
ENSG00000134452,FBH1,-0.0625059,1,-0.192427,2583.44,2392.4
ENSG00000111269,CREBL2,-0.0623684,1,-0.162725,4288.21,4053.4
ENSG00000100714,MTHFD1,-0.0621924,1,-0.107931,20273.1,19902.8
ENSG00000263001,GTF2I,-0.0621246,1,-0.127336,10038,9723.24
ENSG00000064419,TNPO3,-0.0619589,1,-0.129172,9455.1,9147.04
ENSG00000115594,IL1R1,-0.0619424,1,-0.402652,400.993,321.138
ENSG00000284753,EEF1AKMT4,-0.0619367,1,-0.395978,416.331,334.966
ENSG00000241258,CRCP,-0.0618866,1,-0.180077,3109.34,2904.07
ENSG00000172954,LCLAT1,-0.0618494,1,-0.246803,1297.2,1157.02
ENSG00000124201,ZNFX1,-0.061782,1,-0.158064,4651.95,4411.42
ENSG00000120437,ACAT2,-0.0616234,1,-0.147392,5841.78,5580.72
ENSG00000100124,ANKRD54,-0.0615865,1,-0.325484,652.983,551.619
ENSG00000110025,SNX15,-0.0614759,1,-0.247885,1277.48,1138.58
ENSG00000113070,HBEGF,-0.0614221,1,-0.237677,1424.29,1278.4
ENSG00000279605,#N/A,-0.0613473,1,-0.219973,1748.59,1588.79
ENSG00000134597,RBMX2,-0.0611813,1,-0.234839,1465.92,1318.35
ENSG00000115761,NOL10,-0.061152,1,-0.153588,5039.8,4794.01
ENSG00000120071,KANSL1,-0.0609483,1,-0.194966,2430.06,2246.43
ENSG00000137494,ANKRD42,-0.0608878,1,-0.339235,589.437,493.23
ENSG00000135040,NAA35,-0.060859,1,-0.193298,2487.03,2301.74
ENSG00000136950,ARPC5L,-0.060832,1,-0.255852,1170.11,1037.17
ENSG00000132341,RAN,-0.0608204,1,-0.0965652,33069.8,32722.2
ENSG00000168434,COG7,-0.0605108,1,-0.326232,644.218,543.936
ENSG00000126787,DLGAP5,-0.0604948,1,-0.129521,8966.46,8672.25
ENSG00000258457,#N/A,-0.0603486,1,-1.21001,48.2068,21.5116
ENSG00000260269,#N/A,-0.0603486,1,-1.21001,48.2068,21.5116
ENSG00000261052,#N/A,-0.0603486,1,-1.21001,48.2068,21.5116
ENSG00000279355,#N/A,-0.0603486,1,-1.21001,48.2068,21.5116
ENSG00000139719,VPS33A,-0.0603103,1,-0.20262,2160.54,1986.75
ENSG00000226415,#N/A,-0.060307,1,-0.374801,466.729,381.063
ENSG00000144681,STAC,-0.0603032,1,-0.284131,896.208,779.027
ENSG00000117143,UAP1,-0.0602603,1,-0.0997561,27118.5,26774.3
ENSG00000113811,SELENOK,-0.0602601,1,-0.24647,1279.67,1141.65
ENSG00000100554,ATP6V1D,-0.0602437,1,-0.152566,5050.76,4807.84
ENSG00000137817,PARP6,-0.0599161,1,-0.214297,1842.81,1680.98
ENSG00000147202,DIAPH2,-0.0598759,1,-0.159781,4323.27,4094.89
ENSG00000011028,MRC2,-0.0598665,1,-0.247561,1259.95,1123.21
ENSG00000167220,HDHD2,-0.0598569,1,-0.19001,2572.49,2386.25
ENSG00000119509,INVS,-0.0597783,1,-0.250399,1222.7,1087.87
ENSG00000126214,KLC1,-0.0593356,1,-0.144081,5977.64,5723.62
ENSG00000163541,SUCLG1,-0.0592553,1,-0.136988,7088.59,6820.71
ENSG00000214046,SMIM7,-0.0592406,1,-0.186218,2699.58,2510.71
ENSG00000174437,ATP2A2,-0.0592204,1,-0.105452,19830.5,19501.8
ENSG00000174446,SNAPC5,-0.0589565,1,-0.231237,1487.84,1341.4
ENSG00000135249,RINT1,-0.058769,1,-0.185949,2690.81,2503.03
ENSG00000256294,ZNF225,-0.0586778,1,-0.341357,571.908,477.865
ENSG00000054267,ARID4B,-0.0586716,1,-0.183085,2809.14,2618.27
ENSG00000159111,MRPL10,-0.0586497,1,-0.204685,2053.17,1885.34
ENSG00000112699,GMDS,-0.0586336,1,-0.257469,1126.29,997.216
ENSG00000115524,SF3B1,-0.0585969,1,-0.0961171,30015.3,29709.1
ENSG00000127838,PNKD,-0.0580002,1,-0.324568,639.835,540.863
ENSG00000125657,TNFSF9,-0.0579899,1,-0.94948,67.9277,36.877
ENSG00000217930,PAM16,-0.0579504,1,-0.335635,591.629,496.303
ENSG00000048649,RSF1,-0.0579168,1,-0.144803,5688.4,5443.97
ENSG00000109332,UBE2D3,-0.0577789,1,-0.118571,11519.2,11226
ENSG00000004766,VPS50,-0.0577562,1,-0.192085,2416.91,2238.74
ENSG00000184634,MED12,-0.0575823,1,-0.178833,2953.76,2761.17
ENSG00000246985,#N/A,-0.0575782,1,-1.76326,37.2507,10.7558
ENSG00000234741,GAS5,-0.0575419,1,-0.114461,13123.2,12825.5
ENSG00000109674,NEIL3,-0.057524,1,-0.249144,1209.55,1077.12
ENSG00000141384,TAF4B,-0.0575023,1,-0.25492,1141.62,1012.58
ENSG00000089737,DDX24,-0.057411,1,-0.132909,7504.92,7241.73
ENSG00000086300,SNX10,-0.0573538,1,-0.54603,63.5453,46.0963
ENSG00000116833,NR5A2,-0.0573538,1,-0.54603,63.5453,46.0963
ENSG00000237842,#N/A,-0.0573538,1,-0.54603,63.5453,46.0963
ENSG00000276203,LOC642929,-0.0573538,1,-0.54603,63.5453,46.0963
ENSG00000173818,ENDOV,-0.0573512,1,-0.432871,333.065,261.212
ENSG00000286237,ARMCX5-GPRASP2,-0.0572349,1,-0.403733,387.845,310.382
ENSG00000143390,RFX5,-0.0571849,1,-0.145685,5484.62,5245.76
ENSG00000125912,NCLN,-0.0569582,1,-0.177246,2999.78,2807.26
ENSG00000072958,AP1M1,-0.0569036,1,-0.166682,3589.21,3383.47
ENSG00000197530,MIB2,-0.0566457,1,-0.437465,324.3,253.53
ENSG00000013588,GPRC5A,-0.0566122,1,-0.119953,10616.4,10336.3
ENSG00000165516,KLHDC2,-0.0565619,1,-0.208566,1897.59,1737.83
ENSG00000064012,CASP8,-0.0565312,1,-0.159429,4075.66,3861.33
ENSG00000169599,NFU1,-0.0564013,1,-0.204093,2007.15,1843.85
ENSG00000084731,KIF3C,-0.0563099,1,-0.26824,994.813,874.293
ENSG00000205609,EIF3CL,-0.0559308,1,-0.110792,14109.2,13824.3
ENSG00000141076,UTP4,-0.0556336,1,-0.122036,9667.65,9399.03
ENSG00000005194,CIAPIN1,-0.0556062,1,-0.165195,3600.17,3397.3
ENSG00000185710,SMG1P4,-0.0555269,1,-0.535037,210.357,153.654
ENSG00000224831,#N/A,-0.0555269,1,-0.535037,210.357,153.654
ENSG00000204524,ZNF805,-0.055507,1,-0.249625,1178.87,1049.46
ENSG00000172661,WASHC2C,-0.0553513,1,-0.148202,4987.21,4761.75
ENSG00000118193,KIF14,-0.0552511,1,-0.167912,3409.53,3211.38
ENSG00000106636,YKT6,-0.0552134,1,-0.154594,4362.71,4147.13
ENSG00000155744,FAM126B,-0.0550696,1,-0.237937,1323.5,1187.75
ENSG00000104812,GYS1,-0.0550412,1,-0.201239,2046.6,1883.8
ENSG00000125775,SDCBP2,-0.0548388,1,-0.96257,65.7365,35.3405
ENSG00000185585,OLFML2A,-0.0548388,1,-0.96257,65.7365,35.3405
