entrez	pval	logfc
9709	0.161224170138725	-0.7
9454	0.316084649522358	0.5
5888	0.86275785148142	-0.2
10721	0.484484090880009	-0.7
5291	0.0233046125974838	-0.6
1535	0.23397266916314	-0.7
84321	0.89875533968679	-0.1
23593	0.188639445686598	0.5
10198	0.521718147551658	0.3
54477	0.63305535050012	-0.1
5652	0.192458046539962	-1.2
80143	0.0198616411463152	1.1
23223	0.717223008225995	0.3
57600	0.0516909696311597	0.7
6307	0.0391637332015596	1.2
55761	0.795824797913798	-0.1
60529	0.0006743157749424	-2.7
23105	0.893916923190252	-0.2
1112	0.084015458727155	0.6
728464	0.457867949707497	-0.5
8574	0.0130291707349368	-1.6
51154	0.288544525508159	-0.7
4826	0.989364564813133	0.0
55850	0.553985360648165	0.6
23101	0.0429669742844089	-1.0
83714	0.267186309955496	-1.0
3909	0.777455577578415	-0.2
55745	0.622202419541891	0.1
29945	0.91763659941416	-0.1
3784	0.000133257387641	-2.8
27095	0.327665471562174	0.6
9967	0.637664599369807	-0.2
29085	0.782337457501041	-0.2
954	1.38381750474639e-06	-2.8
4065	0.209736401339237	-0.8
51742	0.45298640850869	-0.1
23596	0.831638092932889	-0.2
10806	0.244687481709076	0.5
5798	0.143005459648538	-1.5
55733	0.077363406691311	-1.2
23095	0.292170447372429	0.3
2296	0.246857332885719	1.0
25771	0.001188930623859	-1.4
23224	0.98203188128122	0.0
57475	0.784911393391703	-0.2
10079	0.935809894624083	0.0
25884	0.165541431658215	1.4
23201	0.565047958576129	-0.3
84957	0.0524584827956108	-1.4
2581	0.498272463283663	0.2
51602	0.732705201650551	0.1
26099	0.20598813059384	-0.5
3757	0.972852663283125	0.0
8454	0.0984862036891965	0.8
10827	0.119358058484987	0.8
26999	0.815902532130613	-0.1
23118	0.0010494504909205	0.9
116254	2.63873616022306e-05	1.0
5610	0.0046139085883621	0.8
57602	0.876713215539329	-0.1
58508	0.925141221040693	0.0
55283	0.625418112829041	-0.4
114800	0.821447136213043	-0.3
23369	0.469411312889925	0.2
84545	0.509758048169762	-0.4
3700	0.252055452102186	-1.3
54969	0.153160766851414	0.4
51663	0.0182288927183396	0.4
55609	0.0003818308612027	1.4
10886	0.229770804597189	-1.6
112885	0.249375373992398	-1.7
7185	0.288060239214174	-0.9
54542	0.0642713422221541	0.4
55540	0.0594418096945826	-0.9
10758	0.157375602551622	-0.6
8908	0.039032888998341	-1.6
131566	0.0032154762650937	1.0
6646	3.23965842691718e-08	1.1
5318	0.810993953249721	-0.2
4438	0.44019056193391	0.8
2155	0.0239258381037167	-2.5
2665	0.442560354871869	0.2
639	0.627973817751835	-0.4
9474	0.494456932295398	0.2
57458	0.0191343749197314	-1.1
57095	0.514508537356561	-0.2
57504	0.997412720119293	0.0
8975	0.183005959556423	0.7
23200	0.0852472504101832	0.5
3918	0.497378106857095	-0.6
5218	0.99523038465135	0.0
29927	0.23927180047385	-0.5
4659	0.711104371906885	0.1
5923	0.0565385355357119	-1.7
816	0.333616018908306	-1.0
9696	0.717904765144812	-0.2
55718	0.0882203664639234	-0.4
493	0.190382684830263	0.7
9877	0.228141449604794	0.6
55781	0.931035202764153	0.1
54432	0.612606685228154	-0.3
55706	0.884657929056647	0.1
1608	0.982002173552259	0.0
84256	0.452692932266495	-0.4
64718	0.232152933807117	-0.9
6916	0.143438966729968	-1.0
64761	0.484794945846481	-0.5
5832	0.287623682519822	-0.5
6894	0.149576129345301	-0.9
5188	0.0012742806819532	-1.0
4084	0.0004404804018375	-1.3
5128	0.000142454849182	1.2
548645	0.26742964116827	0.5
6515	0.0251895742082321	1.1
5662	0.598275029153168	-0.4
9150	0.448910933543698	-0.5
8531	1.78880031611068e-05	1.7
55359	0.368558117928891	-0.9
65125	0.0147350642989552	0.5
55749	0.95475778523829	0.0
11054	0.278648920008304	-0.7
2769	0.129691951090986	-1.3
84699	1.26673070310206e-10	-5.0
55650	0.0674748921929153	-1.1
10076	0.502275319733499	-0.5
9410	0.156726808814252	-0.8
23504	0.595527330579168	-0.4
1301	0.174034371429164	-1.0
79832	0.110454426941456	0.4
51660	0.19191112312232	0.7
30	0.0844660775032335	-1.0
586	3.41834696564261e-05	2.2
51564	0.460999249233196	0.4
11178	0.0747290531281725	-1.8
93166	0.971659064514391	0.0
6676	0.574747616374138	-0.5
10787	0.0001200807206359	1.0
60488	0.887801462174065	-0.1
2983	0.0502354032812282	1.2
6433	0.606939014039564	0.3
10188	0.508453145313537	-0.4
23041	0.170867467298589	-0.3
1001	0.858906776545663	-0.2
65056	0.0900465001420559	0.4
84649	0.0087974250264786	-1.9
7771	0.509742053073441	-0.4
1431	0.833270580903465	0.1
4058	0.166692098197428	-1.2
64951	0.0852472504101832	-1.7
63916	0.410552935859941	0.5
23063	0.0392073673868587	0.4
81671	0.681356881731938	0.2
10513	0.0055742384435767	1.0
5424	0.008111128009829	-1.7
124925	0.15184599196988	-1.3
1975	0.0001603597267261	0.7
28968	0.58034902658516	0.4
29998	0.0002606239426404	-1.5
56848	0.0441513223308019	-1.5
6141	0.643404611698645	-0.2
770	0.285791699158768	-0.7
79763	0.0001371410712878	-2.3
11338	0.0634970269338342	-0.9
29924	0.107812673939269	-0.9
